combined_shot_type,period,shot_distance,shot_made_flag,opponent,shot_type,game_date
Jump Shot,4,10,1,MIN,2PT Field Goal,12/14/08
Jump Shot,4,26,0,MIN,3PT Field Goal,12/14/08
Jump Shot,4,28,0,MIN,3PT Field Goal,12/14/08
Jump Shot,1,27,0,NYK,3PT Field Goal,12/16/08
Jump Shot,1,8,1,NYK,2PT Field Goal,12/16/08
Jump Shot,1,15,1,NYK,2PT Field Goal,12/16/08
Layup,1,0,1,NYK,2PT Field Goal,12/16/08
Jump Shot,1,4,0,NYK,2PT Field Goal,12/16/08
Layup,2,0,0,NYK,2PT Field Goal,12/16/08
Jump Shot,2,19,0,NYK,2PT Field Goal,12/16/08
Bank Shot,2,6,1,NYK,2PT Field Goal,12/16/08
Jump Shot,3,21,1,NYK,2PT Field Goal,12/16/08
Jump Shot,3,16,1,NYK,2PT Field Goal,12/16/08
Jump Shot,3,16,1,NYK,2PT Field Goal,12/16/08
Jump Shot,3,8,0,NYK,2PT Field Goal,12/16/08
Jump Shot,3,7,1,NYK,2PT Field Goal,12/16/08
Jump Shot,3,17,0,NYK,2PT Field Goal,12/16/08
Jump Shot,4,17,1,NYK,2PT Field Goal,12/16/08
Dunk,4,0,1,NYK,2PT Field Goal,12/16/08
Jump Shot,4,23,1,NYK,3PT Field Goal,12/16/08
Jump Shot,4,7,0,NYK,2PT Field Goal,12/16/08
Jump Shot,4,18,1,NYK,2PT Field Goal,12/16/08
Layup,1,0,1,MIA,2PT Field Goal,12/19/08
Jump Shot,1,20,0,MIA,2PT Field Goal,12/19/08
Layup,1,0,1,MIA,2PT Field Goal,12/19/08
Layup,2,0,1,MIA,2PT Field Goal,12/19/08
Jump Shot,2,19,1,MIA,2PT Field Goal,12/19/08
Layup,2,0,0,MIA,2PT Field Goal,12/19/08
Jump Shot,2,25,1,MIA,3PT Field Goal,12/19/08
Jump Shot,2,20,0,MIA,2PT Field Goal,12/19/08
Jump Shot,2,24,0,MIA,3PT Field Goal,12/19/08
Layup,2,0,1,MIA,2PT Field Goal,12/19/08
Jump Shot,3,22,0,MIA,2PT Field Goal,12/19/08
Dunk,3,0,0,MIA,2PT Field Goal,12/19/08
Jump Shot,3,15,1,MIA,2PT Field Goal,12/19/08
Layup,3,0,1,MIA,2PT Field Goal,12/19/08
Jump Shot,3,15,0,MIA,2PT Field Goal,12/19/08
Jump Shot,3,7,1,MIA,2PT Field Goal,12/19/08
Jump Shot,3,25,0,MIA,3PT Field Goal,12/19/08
Jump Shot,4,19,0,MIA,2PT Field Goal,12/19/08
Jump Shot,1,20,1,ORL,2PT Field Goal,12/20/08
Jump Shot,1,20,0,ORL,2PT Field Goal,12/20/08
Bank Shot,1,14,1,ORL,2PT Field Goal,12/20/08
Jump Shot,1,19,0,ORL,2PT Field Goal,12/20/08
Jump Shot,1,9,0,ORL,2PT Field Goal,12/20/08
Jump Shot,1,12,1,ORL,2PT Field Goal,12/20/08
Jump Shot,1,8,0,ORL,2PT Field Goal,12/20/08
Layup,1,0,1,ORL,2PT Field Goal,12/20/08
Jump Shot,1,17,0,ORL,2PT Field Goal,12/20/08
Layup,2,0,1,ORL,2PT Field Goal,12/20/08
Jump Shot,2,18,1,ORL,2PT Field Goal,12/20/08
Jump Shot,2,16,1,ORL,2PT Field Goal,12/20/08
Jump Shot,2,14,0,ORL,2PT Field Goal,12/20/08
Jump Shot,2,20,1,ORL,2PT Field Goal,12/20/08
Jump Shot,2,15,1,ORL,2PT Field Goal,12/20/08
Jump Shot,2,15,0,ORL,2PT Field Goal,12/20/08
Jump Shot,3,16,0,ORL,2PT Field Goal,12/20/08
Jump Shot,3,8,1,ORL,2PT Field Goal,12/20/08
Jump Shot,3,24,1,ORL,3PT Field Goal,12/20/08
Jump Shot,3,26,1,ORL,3PT Field Goal,12/20/08
Jump Shot,3,17,0,ORL,2PT Field Goal,12/20/08
Jump Shot,4,15,0,ORL,2PT Field Goal,12/20/08
Jump Shot,4,9,0,ORL,2PT Field Goal,12/20/08
Jump Shot,4,10,0,ORL,2PT Field Goal,12/20/08
Layup,4,0,1,ORL,2PT Field Goal,12/20/08
Jump Shot,4,19,0,ORL,2PT Field Goal,12/20/08
Jump Shot,4,30,0,ORL,3PT Field Goal,12/20/08
Jump Shot,1,6,0,MEM,2PT Field Goal,12/22/08
Jump Shot,1,6,0,MEM,2PT Field Goal,12/22/08
Jump Shot,1,15,1,MEM,2PT Field Goal,12/22/08
Layup,1,0,1,MEM,2PT Field Goal,12/22/08
Jump Shot,1,25,0,MEM,3PT Field Goal,12/22/08
Layup,1,0,1,MEM,2PT Field Goal,12/22/08
Layup,2,0,0,MEM,2PT Field Goal,12/22/08
Jump Shot,2,14,1,MEM,2PT Field Goal,12/22/08
Jump Shot,2,26,1,MEM,3PT Field Goal,12/22/08
Jump Shot,2,26,0,MEM,3PT Field Goal,12/22/08
Jump Shot,2,10,0,MEM,2PT Field Goal,12/22/08
Jump Shot,3,6,1,MEM,2PT Field Goal,12/22/08
Jump Shot,3,20,0,MEM,2PT Field Goal,12/22/08
Bank Shot,3,9,0,MEM,2PT Field Goal,12/22/08
Jump Shot,4,28,0,MEM,3PT Field Goal,12/22/08
Layup,4,0,1,MEM,2PT Field Goal,12/22/08
Dunk,4,0,1,MEM,2PT Field Goal,12/22/08
Jump Shot,1,15,1,NOH,2PT Field Goal,12/23/08
Jump Shot,2,14,0,NOH,2PT Field Goal,12/23/08
Jump Shot,2,16,0,NOH,2PT Field Goal,12/23/08
Jump Shot,2,19,0,NOH,2PT Field Goal,12/23/08
Jump Shot,2,10,0,NOH,2PT Field Goal,12/23/08
Dunk,2,0,1,NOH,2PT Field Goal,12/23/08
Jump Shot,2,22,0,NOH,3PT Field Goal,12/23/08
Jump Shot,3,10,0,NOH,2PT Field Goal,12/23/08
Jump Shot,3,22,1,NOH,2PT Field Goal,12/23/08
Jump Shot,3,7,0,NOH,2PT Field Goal,12/23/08
Jump Shot,4,16,0,NOH,2PT Field Goal,12/23/08
Jump Shot,4,22,1,NOH,2PT Field Goal,12/23/08
Jump Shot,4,19,1,NOH,2PT Field Goal,12/23/08
Jump Shot,1,23,0,BOS,3PT Field Goal,12/25/08
Layup,1,0,1,BOS,2PT Field Goal,12/25/08
Jump Shot,1,16,0,BOS,2PT Field Goal,12/25/08
Jump Shot,1,15,1,BOS,2PT Field Goal,12/25/08
Jump Shot,1,14,1,BOS,2PT Field Goal,12/25/08
Jump Shot,1,18,1,BOS,2PT Field Goal,12/25/08
Layup,1,0,1,BOS,2PT Field Goal,12/25/08
Jump Shot,2,22,1,BOS,2PT Field Goal,12/25/08
Layup,2,0,1,BOS,2PT Field Goal,12/25/08
Jump Shot,2,17,1,BOS,2PT Field Goal,12/25/08
Jump Shot,2,20,0,BOS,2PT Field Goal,12/25/08
Jump Shot,3,18,0,BOS,2PT Field Goal,12/25/08
Dunk,3,0,1,BOS,2PT Field Goal,12/25/08
Jump Shot,3,12,0,BOS,2PT Field Goal,12/25/08
Jump Shot,3,25,1,BOS,3PT Field Goal,12/25/08
Layup,3,0,0,BOS,2PT Field Goal,12/25/08
Jump Shot,3,6,0,BOS,2PT Field Goal,12/25/08
Jump Shot,4,17,1,BOS,2PT Field Goal,12/25/08
Jump Shot,4,17,1,BOS,2PT Field Goal,12/25/08
Layup,4,0,1,BOS,2PT Field Goal,12/25/08
Jump Shot,1,21,1,GSW,2PT Field Goal,12/28/08
Jump Shot,1,19,1,GSW,2PT Field Goal,12/28/08
Jump Shot,1,25,1,GSW,3PT Field Goal,12/28/08
Jump Shot,1,20,0,GSW,2PT Field Goal,12/28/08
Jump Shot,1,25,0,GSW,3PT Field Goal,12/28/08
Jump Shot,1,17,0,GSW,2PT Field Goal,12/28/08
Layup,2,0,1,GSW,2PT Field Goal,12/28/08
Jump Shot,2,26,0,GSW,3PT Field Goal,12/28/08
Jump Shot,2,10,0,GSW,2PT Field Goal,12/28/08
Layup,2,0,1,GSW,2PT Field Goal,12/28/08
Jump Shot,3,6,1,GSW,2PT Field Goal,12/28/08
Jump Shot,3,24,1,GSW,3PT Field Goal,12/28/08
Jump Shot,3,18,1,GSW,2PT Field Goal,12/28/08
Jump Shot,3,23,1,GSW,3PT Field Goal,12/28/08
Dunk,1,0,1,UTA,2PT Field Goal,1/2/09
Jump Shot,1,12,0,UTA,2PT Field Goal,1/2/09
Dunk,2,0,1,UTA,2PT Field Goal,1/2/09
Jump Shot,2,22,1,UTA,3PT Field Goal,1/2/09
Jump Shot,2,25,0,UTA,3PT Field Goal,1/2/09
Jump Shot,2,7,1,UTA,2PT Field Goal,1/2/09
Jump Shot,3,6,0,UTA,2PT Field Goal,1/2/09
Jump Shot,3,8,1,UTA,2PT Field Goal,1/2/09
Jump Shot,3,10,0,UTA,2PT Field Goal,1/2/09
Jump Shot,3,6,0,UTA,2PT Field Goal,1/2/09
Jump Shot,3,19,1,UTA,2PT Field Goal,1/2/09
Jump Shot,3,7,0,UTA,2PT Field Goal,1/2/09
Jump Shot,3,11,0,UTA,2PT Field Goal,1/2/09
Layup,3,0,1,UTA,2PT Field Goal,1/2/09
Jump Shot,4,19,1,UTA,2PT Field Goal,1/2/09
Layup,4,0,0,UTA,2PT Field Goal,1/2/09
Dunk,4,0,1,UTA,2PT Field Goal,1/2/09
Jump Shot,4,16,0,UTA,2PT Field Goal,1/2/09
Layup,4,0,0,UTA,2PT Field Goal,1/2/09
Jump Shot,4,25,1,UTA,3PT Field Goal,1/2/09
Jump Shot,1,9,0,POR,2PT Field Goal,1/4/09
Layup,1,0,1,POR,2PT Field Goal,1/4/09
Jump Shot,1,21,1,POR,2PT Field Goal,1/4/09
Jump Shot,2,17,0,POR,2PT Field Goal,1/4/09
Layup,2,0,1,POR,2PT Field Goal,1/4/09
Jump Shot,2,13,1,POR,2PT Field Goal,1/4/09
Jump Shot,2,11,1,POR,2PT Field Goal,1/4/09
Jump Shot,3,23,0,POR,2PT Field Goal,1/4/09
Jump Shot,3,5,1,POR,2PT Field Goal,1/4/09
Jump Shot,3,10,1,POR,2PT Field Goal,1/4/09
Layup,3,0,0,POR,2PT Field Goal,1/4/09
Jump Shot,4,22,0,POR,3PT Field Goal,1/4/09
Jump Shot,4,7,0,POR,2PT Field Goal,1/4/09
Jump Shot,1,15,1,NOH,2PT Field Goal,1/6/09
Jump Shot,1,9,1,NOH,2PT Field Goal,1/6/09
Jump Shot,1,18,1,NOH,2PT Field Goal,1/6/09
Jump Shot,1,21,0,NOH,2PT Field Goal,1/6/09
Jump Shot,1,15,0,NOH,2PT Field Goal,1/6/09
Jump Shot,2,26,1,NOH,3PT Field Goal,1/6/09
Jump Shot,3,21,1,NOH,2PT Field Goal,1/6/09
Jump Shot,3,17,1,NOH,2PT Field Goal,1/6/09
Jump Shot,3,28,1,NOH,3PT Field Goal,1/6/09
Jump Shot,3,27,1,NOH,3PT Field Goal,1/6/09
Jump Shot,3,18,1,NOH,2PT Field Goal,1/6/09
Jump Shot,3,27,1,NOH,3PT Field Goal,1/6/09
Layup,4,0,1,NOH,2PT Field Goal,1/6/09
Jump Shot,4,18,0,NOH,2PT Field Goal,1/6/09
Jump Shot,4,26,0,NOH,3PT Field Goal,1/6/09
Jump Shot,1,6,1,GSW,2PT Field Goal,1/7/09
Layup,1,1,1,GSW,2PT Field Goal,1/7/09
Layup,1,3,0,GSW,2PT Field Goal,1/7/09
Dunk,1,0,1,GSW,2PT Field Goal,1/7/09
Jump Shot,2,5,0,GSW,2PT Field Goal,1/7/09
Jump Shot,3,26,1,GSW,3PT Field Goal,1/7/09
Jump Shot,3,27,0,GSW,3PT Field Goal,1/7/09
Jump Shot,3,26,0,GSW,3PT Field Goal,1/7/09
Jump Shot,3,27,0,GSW,3PT Field Goal,1/7/09
Jump Shot,3,19,0,GSW,2PT Field Goal,1/7/09
Jump Shot,4,17,0,GSW,2PT Field Goal,1/7/09
Layup,4,0,1,GSW,2PT Field Goal,1/7/09
Jump Shot,4,13,0,GSW,2PT Field Goal,1/7/09
Layup,4,1,1,GSW,2PT Field Goal,1/7/09
Jump Shot,4,4,0,GSW,2PT Field Goal,1/7/09
Jump Shot,1,6,0,IND,2PT Field Goal,1/9/09
Jump Shot,1,24,1,IND,3PT Field Goal,1/9/09
Jump Shot,1,19,0,IND,2PT Field Goal,1/9/09
Jump Shot,1,20,1,IND,2PT Field Goal,1/9/09
Jump Shot,2,27,0,IND,3PT Field Goal,1/9/09
Jump Shot,2,13,1,IND,2PT Field Goal,1/9/09
Jump Shot,3,7,1,IND,2PT Field Goal,1/9/09
Jump Shot,3,6,1,IND,2PT Field Goal,1/9/09
Jump Shot,3,21,1,IND,2PT Field Goal,1/9/09
Jump Shot,3,12,0,IND,2PT Field Goal,1/9/09
Jump Shot,3,22,0,IND,3PT Field Goal,1/9/09
Bank Shot,3,5,1,IND,2PT Field Goal,1/9/09
Jump Shot,3,19,0,IND,2PT Field Goal,1/9/09
Jump Shot,4,9,0,IND,2PT Field Goal,1/9/09
Jump Shot,4,25,0,IND,3PT Field Goal,1/9/09
Jump Shot,4,17,0,IND,2PT Field Goal,1/9/09
Jump Shot,4,15,1,IND,2PT Field Goal,1/9/09
Jump Shot,4,15,0,IND,2PT Field Goal,1/9/09
Jump Shot,4,19,1,IND,2PT Field Goal,1/9/09
Jump Shot,4,17,1,IND,2PT Field Goal,1/9/09
Jump Shot,1,28,1,MIA,3PT Field Goal,1/11/09
Jump Shot,2,23,0,MIA,3PT Field Goal,1/11/09
Jump Shot,2,26,0,MIA,3PT Field Goal,1/11/09
Jump Shot,3,15,0,MIA,2PT Field Goal,1/11/09
Layup,3,0,0,MIA,2PT Field Goal,1/11/09
Layup,3,0,1,MIA,2PT Field Goal,1/11/09
Jump Shot,3,25,1,MIA,3PT Field Goal,1/11/09
Jump Shot,3,22,0,MIA,2PT Field Goal,1/11/09
Layup,3,0,1,MIA,2PT Field Goal,1/11/09
Jump Shot,4,16,0,MIA,2PT Field Goal,1/11/09
Jump Shot,4,16,0,MIA,2PT Field Goal,1/11/09
Layup,4,0,0,MIA,2PT Field Goal,1/11/09
Jump Shot,1,8,1,HOU,2PT Field Goal,1/13/09
Jump Shot,1,5,0,HOU,2PT Field Goal,1/13/09
Jump Shot,1,6,0,HOU,2PT Field Goal,1/13/09
Jump Shot,1,13,1,HOU,2PT Field Goal,1/13/09
Jump Shot,1,25,0,HOU,3PT Field Goal,1/13/09
Jump Shot,1,21,0,HOU,2PT Field Goal,1/13/09
Jump Shot,2,17,0,HOU,2PT Field Goal,1/13/09
Jump Shot,2,7,1,HOU,2PT Field Goal,1/13/09
Layup,2,0,0,HOU,2PT Field Goal,1/13/09
Jump Shot,2,21,0,HOU,2PT Field Goal,1/13/09
Jump Shot,2,10,0,HOU,2PT Field Goal,1/13/09
Jump Shot,2,10,0,HOU,2PT Field Goal,1/13/09
Layup,2,0,0,HOU,2PT Field Goal,1/13/09
Layup,3,0,0,HOU,2PT Field Goal,1/13/09
Jump Shot,3,9,1,HOU,2PT Field Goal,1/13/09
Jump Shot,3,12,1,HOU,2PT Field Goal,1/13/09
Jump Shot,3,4,0,HOU,2PT Field Goal,1/13/09
Layup,3,0,0,HOU,2PT Field Goal,1/13/09
Jump Shot,4,17,1,HOU,2PT Field Goal,1/13/09
Jump Shot,4,10,0,HOU,2PT Field Goal,1/13/09
Jump Shot,4,9,0,HOU,2PT Field Goal,1/13/09
Jump Shot,4,17,1,HOU,2PT Field Goal,1/13/09
Jump Shot,4,9,0,HOU,2PT Field Goal,1/13/09
Jump Shot,4,17,1,HOU,2PT Field Goal,1/13/09
Jump Shot,4,17,1,HOU,2PT Field Goal,1/13/09
Jump Shot,4,27,1,HOU,3PT Field Goal,1/13/09
Jump Shot,1,15,0,SAS,2PT Field Goal,1/14/09
Jump Shot,2,20,0,SAS,2PT Field Goal,1/14/09
Jump Shot,2,19,0,SAS,2PT Field Goal,1/14/09
Jump Shot,2,9,1,SAS,2PT Field Goal,1/14/09
Jump Shot,2,10,1,SAS,2PT Field Goal,1/14/09
Hook Shot,2,5,1,SAS,2PT Field Goal,1/14/09
Jump Shot,2,19,1,SAS,2PT Field Goal,1/14/09
Layup,3,2,0,SAS,2PT Field Goal,1/14/09
Layup,3,1,0,SAS,2PT Field Goal,1/14/09
Jump Shot,3,7,1,SAS,2PT Field Goal,1/14/09
Jump Shot,3,24,0,SAS,3PT Field Goal,1/14/09
Jump Shot,4,22,1,SAS,3PT Field Goal,1/14/09
Layup,4,3,0,SAS,2PT Field Goal,1/14/09
Bank Shot,4,7,1,SAS,2PT Field Goal,1/14/09
Jump Shot,4,24,1,SAS,3PT Field Goal,1/14/09
Jump Shot,1,13,1,ORL,2PT Field Goal,1/16/09
Jump Shot,1,21,0,ORL,2PT Field Goal,1/16/09
Jump Shot,2,17,1,ORL,2PT Field Goal,1/16/09
Layup,2,0,1,ORL,2PT Field Goal,1/16/09
Jump Shot,2,11,0,ORL,2PT Field Goal,1/16/09
Jump Shot,2,19,1,ORL,2PT Field Goal,1/16/09
Layup,3,0,1,ORL,2PT Field Goal,1/16/09
Jump Shot,3,16,0,ORL,2PT Field Goal,1/16/09
Jump Shot,3,12,0,ORL,2PT Field Goal,1/16/09
Jump Shot,3,25,1,ORL,3PT Field Goal,1/16/09
Jump Shot,3,8,0,ORL,2PT Field Goal,1/16/09
Layup,3,0,0,ORL,2PT Field Goal,1/16/09
Jump Shot,4,17,1,ORL,2PT Field Goal,1/16/09
Jump Shot,4,16,1,ORL,2PT Field Goal,1/16/09
Jump Shot,4,27,0,ORL,3PT Field Goal,1/16/09
Jump Shot,4,21,0,ORL,2PT Field Goal,1/16/09
Layup,4,0,1,ORL,2PT Field Goal,1/16/09
Jump Shot,4,14,0,ORL,2PT Field Goal,1/16/09
Jump Shot,4,27,0,ORL,3PT Field Goal,1/16/09
Jump Shot,4,26,0,ORL,3PT Field Goal,1/16/09
Jump Shot,4,23,0,ORL,3PT Field Goal,1/16/09
Jump Shot,1,11,1,CLE,2PT Field Goal,1/19/09
Jump Shot,2,20,0,CLE,2PT Field Goal,1/19/09
Jump Shot,2,18,0,CLE,2PT Field Goal,1/19/09
Jump Shot,3,17,0,CLE,2PT Field Goal,1/19/09
Jump Shot,3,23,0,CLE,3PT Field Goal,1/19/09
Hook Shot,3,6,0,CLE,2PT Field Goal,1/19/09
Layup,3,0,1,CLE,2PT Field Goal,1/19/09
Jump Shot,3,10,1,CLE,2PT Field Goal,1/19/09
Jump Shot,3,23,0,CLE,3PT Field Goal,1/19/09
Layup,3,0,1,CLE,2PT Field Goal,1/19/09
Jump Shot,3,25,0,CLE,3PT Field Goal,1/19/09
Jump Shot,4,22,1,CLE,3PT Field Goal,1/19/09
Layup,4,0,0,CLE,2PT Field Goal,1/19/09
Jump Shot,4,12,1,CLE,2PT Field Goal,1/19/09
Layup,4,0,0,CLE,2PT Field Goal,1/19/09
Jump Shot,4,25,0,CLE,3PT Field Goal,1/19/09
Dunk,4,0,1,CLE,2PT Field Goal,1/19/09
Jump Shot,4,20,0,CLE,2PT Field Goal,1/19/09
Jump Shot,4,19,0,CLE,2PT Field Goal,1/19/09
Jump Shot,1,24,0,LAC,3PT Field Goal,1/21/09
Jump Shot,2,28,1,LAC,3PT Field Goal,1/21/09
Jump Shot,2,26,1,LAC,3PT Field Goal,1/21/09
Jump Shot,2,26,0,LAC,3PT Field Goal,1/21/09
Layup,3,0,1,LAC,2PT Field Goal,1/21/09
Layup,3,0,1,LAC,2PT Field Goal,1/21/09
Jump Shot,3,26,0,LAC,3PT Field Goal,1/21/09
Jump Shot,4,6,0,LAC,2PT Field Goal,1/21/09
Jump Shot,4,11,0,LAC,2PT Field Goal,1/21/09
Layup,4,0,0,LAC,2PT Field Goal,1/21/09
Layup,1,0,0,WAS,2PT Field Goal,1/22/09
Layup,1,0,1,WAS,2PT Field Goal,1/22/09
Jump Shot,1,24,0,WAS,3PT Field Goal,1/22/09
Jump Shot,1,20,1,WAS,2PT Field Goal,1/22/09
Jump Shot,2,27,1,WAS,3PT Field Goal,1/22/09
Jump Shot,3,19,0,WAS,2PT Field Goal,1/22/09
Jump Shot,3,25,0,WAS,3PT Field Goal,1/22/09
Jump Shot,3,22,0,WAS,2PT Field Goal,1/22/09
Jump Shot,1,18,1,SAS,2PT Field Goal,1/25/09
Jump Shot,1,27,0,SAS,3PT Field Goal,1/25/09
Jump Shot,1,8,0,SAS,2PT Field Goal,1/25/09
Jump Shot,2,21,0,SAS,2PT Field Goal,1/25/09
Jump Shot,2,4,0,SAS,2PT Field Goal,1/25/09
Jump Shot,2,27,1,SAS,3PT Field Goal,1/25/09
Jump Shot,2,17,0,SAS,2PT Field Goal,1/25/09
Jump Shot,2,19,1,SAS,2PT Field Goal,1/25/09
Jump Shot,3,25,1,SAS,3PT Field Goal,1/25/09
Jump Shot,3,16,0,SAS,2PT Field Goal,1/25/09
Jump Shot,3,7,1,SAS,2PT Field Goal,1/25/09
Jump Shot,3,18,0,SAS,2PT Field Goal,1/25/09
Jump Shot,3,20,1,SAS,2PT Field Goal,1/25/09
Jump Shot,1,16,0,CHA,2PT Field Goal,1/27/09
Jump Shot,1,19,0,CHA,2PT Field Goal,1/27/09
Jump Shot,1,17,0,CHA,2PT Field Goal,1/27/09
Jump Shot,2,21,0,CHA,2PT Field Goal,1/27/09
Jump Shot,2,12,1,CHA,2PT Field Goal,1/27/09
Dunk,2,0,1,CHA,2PT Field Goal,1/27/09
Jump Shot,2,19,0,CHA,2PT Field Goal,1/27/09
Jump Shot,2,15,1,CHA,2PT Field Goal,1/27/09
Jump Shot,3,16,1,CHA,2PT Field Goal,1/27/09
Jump Shot,3,13,1,CHA,2PT Field Goal,1/27/09
Layup,3,0,1,CHA,2PT Field Goal,1/27/09
Jump Shot,3,16,0,CHA,2PT Field Goal,1/27/09
Tip Shot,3,0,0,CHA,2PT Field Goal,1/27/09
Jump Shot,3,16,1,CHA,2PT Field Goal,1/27/09
Jump Shot,4,14,0,CHA,2PT Field Goal,1/27/09
Jump Shot,4,12,0,CHA,2PT Field Goal,1/27/09
Jump Shot,4,13,1,CHA,2PT Field Goal,1/27/09
Jump Shot,4,24,0,CHA,3PT Field Goal,1/27/09
Jump Shot,4,13,1,CHA,2PT Field Goal,1/27/09
Jump Shot,4,17,1,CHA,2PT Field Goal,1/27/09
Jump Shot,4,24,1,CHA,3PT Field Goal,1/27/09
Jump Shot,5,15,1,CHA,2PT Field Goal,1/27/09
Jump Shot,5,15,0,CHA,2PT Field Goal,1/27/09
Layup,5,0,1,CHA,2PT Field Goal,1/27/09
Jump Shot,5,11,1,CHA,2PT Field Goal,1/27/09
Jump Shot,1,23,1,MIN,2PT Field Goal,1/30/09
Jump Shot,1,11,1,MIN,2PT Field Goal,1/30/09
Jump Shot,1,13,1,MIN,2PT Field Goal,1/30/09
Jump Shot,1,25,0,MIN,3PT Field Goal,1/30/09
Jump Shot,1,16,0,MIN,2PT Field Goal,1/30/09
